stressor,thresh,timescale,year
art_fish,0.010649251751601696,2003-2013,NA
dem_dest,0.006634916178882122,2003-2013,NA
dem_nondest_hb,0.006407515611499548,2003-2013,NA
dem_nondest_lb,0.004030485637485981,2003-2013,NA
direct_human,0.03761487454175949,2003-2013,NA
light,0.028862008824944496,2003-2013,NA
nutrient,0.04726119339466095,2003-2013,NA
oa,0.1349126398563385,2003-2013,NA
organic,0.019453709945082664,2003-2013,NA
pel_hb,0.005674883723258972,2003-2013,NA
pel_lb,3.5845194361172616e-4,2003-2013,NA
shipping,0.06429369002580643,2003-2013,NA
slr,0.07323884963989258,2003-2013,NA
sst,0.07507947087287903,2003-2013,NA
art_fish,0.00974236335605383,annual,2003
art_fish,0.009907780215144157,annual,2004
art_fish,0.010406037792563438,annual,2005
art_fish,0.010508238337934017,annual,2006
art_fish,0.010459691286087036,annual,2007
art_fish,0.010275805369019508,annual,2008
art_fish,0.01067599281668663,annual,2009
art_fish,0.011389318853616714,annual,2010
art_fish,0.011122356168925762,annual,2011
art_fish,0.011318905279040337,annual,2012
art_fish,0.011470223776996136,annual,2013
dem_dest,0.0066624474711716175,annual,2003
dem_dest,0.006747902370989323,annual,2004
dem_dest,0.006706090644001961,annual,2005
dem_dest,0.0066503859125077724,annual,2006
dem_dest,0.006643491797149181,annual,2007
dem_dest,0.006638137623667717,annual,2008
dem_dest,0.0065275221131742,annual,2009
dem_dest,0.006474526133388281,annual,2010
dem_dest,0.006670346483588219,annual,2011
dem_dest,0.0066625503823161125,annual,2012
dem_dest,0.006592107936739922,annual,2013
dem_nondest_hb,0.006484177894890308,annual,2003
dem_nondest_hb,0.006175972521305084,annual,2004
dem_nondest_hb,0.006311081815510988,annual,2005
dem_nondest_hb,0.0062735723331570625,annual,2006
dem_nondest_hb,0.0064475866965949535,annual,2007
dem_nondest_hb,0.005944064352661371,annual,2008
dem_nondest_hb,0.006392176263034344,annual,2009
dem_nondest_hb,0.006583179347217083,annual,2010
dem_nondest_hb,0.006792015861719847,annual,2011
dem_nondest_hb,0.0066456482745707035,annual,2012
dem_nondest_hb,0.006562703289091587,annual,2013
dem_nondest_lb,0.00425481703132391,annual,2003
dem_nondest_lb,0.004256530664861202,annual,2004
dem_nondest_lb,0.003912717569619417,annual,2005
dem_nondest_lb,0.003588866675272584,annual,2006
